POSIX,Digital Pins,Light State,Wheel Analog,Sync Pulse,Camera Pulse
1740614047292211,255,1,3.579,1,1
1740614047311818,255,1,3.580,1,1
1740614047331425,255,1,3.584,1,1
1740614047351032,255,1,3.570,1,1
1740614047370639,255,1,3.571,1,1
1740614047390246,255,1,3.578,1,1
1740614047409853,255,1,3.579,1,1
1740614047429460,255,1,3.579,1,1
1740614047449067,255,1,3.570,1,1
1740614047468674,255,1,3.571,1,1
1740614047488281,255,1,3.571,1,1
1740614047507888,255,1,3.579,1,1
1740614047527495,255,1,3.579,1,1
1740614047547102,255,1,3.572,1,1
1740614047566709,255,1,3.571,1,1
1740614047586316,255,1,3.577,1,1
1740614047605923,255,1,3.578,1,1
1740614047625530,255,1,3.579,1,1
1740614047645137,255,1,3.571,1,1
1740614047664744,255,1,3.571,1,1
1740614047684351,255,1,3.571,1,1
1740614047703958,255,1,3.578,1,1
1740614047723565,255,1,3.579,1,1
1740614047743172,255,1,3.571,1,1
1740614047762779,255,1,3.571,1,1
1740614047782386,255,1,3.570,1,1
1740614047801993,255,1,3.578,1,1
1740614047821600,255,1,3.578,1,1
1740614047841207,255,1,3.570,1,1
1740614047860814,255,1,3.571,1,1
1740614047880421,255,1,3.571,1,1
1740614047900028,255,1,3.579,1,1
1740614047919635,255,1,3.580,1,1
1740614047939242,255,1,3.568,1,1
1740614047958849,255,1,3.571,1,1
1740614047978456,255,1,3.570,1,1
1740614047998063,255,1,3.577,1,1
1740614048017670,255,1,3.579,1,1
1740614048037277,255,1,3.571,1,1
1740614048056884,255,1,3.571,1,1
1740614048076491,255,1,3.570,1,1
1740614048096098,255,1,3.580,1,1
1740614048115705,255,1,3.580,1,1
1740614048135312,255,1,3.578,1,1
1740614048154919,255,1,3.560,1,1
1740614048174526,255,1,3.571,1,1
1740614048194133,255,1,3.579,1,1
1740614048213740,255,1,3.578,1,1
1740614048233347,255,1,3.579,1,1
1740614048252954,255,1,3.577,1,1
1740614048272561,255,1,3.570,1,1
1740614048292168,255,1,3.579,1,1
1740614048311775,255,1,3.579,1,1
1740614048331382,255,1,3.578,1,1
1740614048350989,255,1,3.571,1,1
1740614048370596,255,1,3.559,1,1
1740614048390203,255,1,3.578,1,1
1740614048409810,255,1,3.578,1,1
1740614048429417,255,1,3.579,1,1
1740614048449024,255,1,3.572,1,1
1740614048468631,255,1,3.571,1,1
1740614048488238,255,1,3.578,1,1
1740614048507845,255,1,3.579,1,1
1740614048527452,255,1,3.578,1,1
1740614048547059,255,1,3.570,1,1
1740614048566666,255,1,3.571,1,1
1740614048586273,255,1,3.567,1,1
1740614048605880,255,1,3.578,1,1
1740614048625487,255,1,3.579,1,1
1740614048645094,255,1,3.570,1,1
1740614048664701,255,1,3.570,1,1
1740614048684308,255,1,3.571,1,1
1740614048703915,255,1,3.580,1,1
1740614048723522,255,1,3.579,1,1
1740614048743129,255,1,3.571,1,1
1740614048762736,255,1,3.571,1,1
1740614048782343,255,1,3.570,1,1
1740614048801950,255,1,3.577,1,1
1740614048821557,255,1,3.567,1,1
1740614048841164,255,1,3.570,1,1
1740614048860771,255,1,3.570,1,1
1740614048880378,255,1,3.572,1,1
1740614048899985,255,1,3.580,1,1
1740614048919592,255,1,3.579,1,1
1740614048939199,255,1,3.571,1,1
1740614048958806,255,1,3.571,1,1
1740614048978413,255,1,3.570,1,1
1740614048998020,255,1,3.578,1,1
1740614049017627,255,1,3.578,1,1
1740614049037234,255,1,3.559,1,1
1740614049056841,255,1,3.570,1,1
1740614049076448,255,1,3.572,1,1
1740614049096055,255,1,3.579,1,1
1740614049115662,255,1,3.579,1,1
1740614049135269,255,1,3.579,1,1
1740614049154876,255,1,3.572,1,1
1740614049174483,255,1,3.571,1,1
1740614049194090,255,1,3.579,1,1
1740614049213697,255,1,3.578,1,1
1740614049233304,255,1,3.577,1,1
1740614049252911,255,1,3.561,1,1
1740614049272518,255,1,3.570,1,1
1740614049292125,255,1,3.579,1,1
1740614049311732,255,1,3.580,1,1
1740614049331339,255,1,3.579,1,1
1740614049350946,255,1,3.571,1,1
1740614049370553,255,1,3.571,1,1
1740614049390160,255,1,3.578,1,1
1740614049409767,255,1,3.578,1,1
1740614049429374,255,1,3.579,1,1
1740614049448981,255,1,3.570,1,1
1740614049468588,255,1,3.565,1,1
1740614049488195,255,1,3.578,1,1
1740614049507802,255,1,3.579,1,1
1740614049527409,255,1,3.580,1,1
1740614049547016,255,1,3.571,1,1
1740614049566623,255,1,3.571,1,1
1740614049586230,255,1,3.570,1,1
1740614049605837,255,1,3.579,1,1
1740614049625444,255,1,3.578,1,1
1740614049645051,255,1,3.570,1,1
1740614049664658,255,1,3.571,1,1
1740614049684265,255,1,3.569,1,1
1740614049703872,255,1,3.578,1,1
1740614049723479,255,1,3.580,1,1
1740614049743086,255,1,3.572,1,1
1740614049762693,255,1,3.571,1,1
1740614049782300,255,1,3.570,1,1
1740614049801907,255,1,3.578,1,1
1740614049821514,255,1,3.578,1,1
1740614049841121,255,1,3.570,1,1
1740614049860728,255,1,3.570,1,1
1740614049880335,255,1,3.571,1,1
1740614049899942,255,1,3.578,1,1
1740614049919549,255,1,3.571,1,1
1740614049939156,255,1,3.571,1,1
1740614049958763,255,1,3.571,1,1
1740614049978370,255,1,3.570,1,1
1740614049997977,255,1,3.579,1,1
1740614050017584,255,1,3.578,1,1
1740614050037191,255,1,3.571,1,1
1740614050056798,255,1,3.570,1,1
1740614050076405,255,1,3.572,1,1
1740614050096012,255,1,3.579,1,1
1740614050115619,255,1,3.578,1,1
1740614050135226,255,1,3.573,1,1
1740614050154833,255,1,3.572,1,1
1740614050174440,255,1,3.576,1,1
1740614050194047,255,1,3.579,1,1
1740614050213654,255,1,3.579,1,1
1740614050233261,255,1,3.578,1,1
1740614050252868,255,1,3.570,1,1
1740614050272475,255,1,3.571,1,1
1740614050292082,255,1,3.579,1,1
1740614050311689,255,1,3.580,1,1
1740614050331296,255,1,3.579,1,1
1740614050350903,255,1,3.568,1,1
1740614050370510,255,1,3.571,1,1
1740614050390117,255,1,3.579,1,1
1740614050409724,255,1,3.578,1,1
1740614050429331,255,1,3.579,1,1
1740614050448938,255,1,3.570,1,1
1740614050468545,255,1,3.570,1,1
1740614050488152,255,1,3.579,1,1
1740614050507759,255,1,3.579,1,1
1740614050527366,255,1,3.579,1,1
1740614050546973,255,1,3.572,1,1
1740614050566580,255,1,3.570,1,1
1740614050586187,255,1,3.570,1,1
1740614050605794,255,1,3.579,1,1
1740614050625401,255,1,3.578,1,1
1740614050645008,255,1,3.570,1,1
1740614050664615,255,1,3.571,1,1
1740614050684222,255,1,3.571,1,1
1740614050703829,255,1,3.578,1,1
1740614050723436,255,1,3.580,1,1
1740614050743043,255,1,3.571,1,1
1740614050762650,255,1,3.571,1,1
1740614050782257,255,1,3.571,1,1
1740614050801864,255,1,3.577,1,1
1740614050821471,255,1,3.578,1,1
1740614050841078,255,1,3.571,1,1
1740614050860685,255,1,3.570,1,1
1740614050880292,255,1,3.571,1,1
1740614050899899,255,1,3.578,1,1
1740614050919506,255,1,3.579,1,1
1740614050939113,255,1,3.570,1,1
1740614050958720,255,1,3.572,1,1
1740614050978327,255,1,3.571,1,1
1740614050997934,255,1,3.579,1,1
1740614051017541,255,1,3.576,1,1
1740614051037148,255,1,3.571,1,1
1740614051056755,255,1,3.571,1,1
1740614051076362,255,1,3.571,1,1
1740614051095969,255,1,3.578,1,1
1740614051115576,255,1,3.579,1,1
1740614051135183,255,1,3.579,1,1
1740614051154790,255,1,3.571,1,1
1740614051174397,255,1,3.577,1,1
1740614051194004,255,1,3.578,1,1
1740614051213611,255,1,3.579,1,1
1740614051233218,255,1,3.577,1,1
1740614051252825,255,1,3.571,1,1
1740614051272432,255,1,3.570,1,1
1740614051292039,255,1,3.579,1,1
1740614051311646,255,1,3.579,1,1
1740614051331253,255,1,3.578,1,1
1740614051350860,255,1,3.572,1,1
1740614051370467,255,1,3.571,1,1
1740614051390074,255,1,3.580,1,1
1740614051409681,255,1,3.579,1,1
1740614051429288,255,1,3.578,1,1
1740614051448895,255,1,3.570,1,1
1740614051468502,255,1,3.571,1,1
1740614051488109,255,1,3.578,1,1
1740614051507716,255,1,3.578,1,1
1740614051527323,255,1,3.579,1,1
1740614051546930,255,1,3.571,1,1
1740614051566537,255,1,3.571,1,1
1740614051586144,255,1,3.570,1,1
1740614051605751,255,1,3.579,1,1
1740614051625358,255,1,3.579,1,1
1740614051644965,255,1,3.571,1,1
1740614051664572,255,1,3.570,1,1
1740614051684179,255,1,3.570,1,1
1740614051703786,255,1,3.578,1,1
1740614051723393,255,1,3.579,1,1
1740614051743000,255,1,3.571,1,1
1740614051762607,255,1,3.571,1,1
1740614051782214,255,1,3.571,1,1
1740614051801821,255,1,3.580,1,1
1740614051821428,255,1,3.578,1,1
1740614051841035,255,1,3.571,1,1
1740614051860642,255,1,3.569,1,1
1740614051880249,255,1,3.570,1,1
1740614051899856,255,1,3.579,1,1
1740614051919463,255,1,3.578,1,1
1740614051939070,255,1,3.571,1,1
1740614051958677,255,1,3.572,1,1
1740614051978284,255,1,3.571,1,1
1740614051997891,255,1,3.579,1,1
1740614052017498,255,1,3.579,1,1
1740614052037105,255,1,3.571,1,1
1740614052056712,255,1,3.571,1,1
1740614052076319,255,1,3.571,1,1
1740614052095926,255,1,3.567,1,1
1740614052115533,255,1,3.577,1,1
1740614052135140,255,1,3.579,1,1
1740614052154747,255,1,3.571,1,1
1740614052174354,255,1,3.571,1,1
1740614052193961,255,1,3.580,1,1
1740614052213568,255,1,3.579,1,1
1740614052233175,255,1,3.579,1,1
