Frame,TimeElapsedMicros,RawDifference,RMSE,SelectedPixelDifference,POSIX
215,21399.6875,3387906.0,3.7857935,318240,1721144331542
216,21499.291666666664,739164.0,2.1044629,1547850,1721144331642
217,21599.520833333332,1170101.0,5.0368023,4961025,1721144331742
218,21699.604166666668,1176622.0,4.8072314,5301960,1721144331842
219,21799.354166666668,460877.0,1.7581968,1149795,1721144331942
220,21899.479166666664,757613.0,2.0683596,1615680,1721144332042
221,22000.0,229735.0,1.7732631,1240830,1721144332143
222,22099.479166666664,804668.0,4.4039,3792360,1721144332242
223,22199.666666666664,574783.0,3.5632997,2955195,1721144332342
224,22299.645833333332,623300.0,1.7676647,1150305,1721144332442
225,22399.645833333332,729556.0,2.7541754,2453100,1721144332542
226,22499.625,1204887.0,4.5996113,5102550,1721144332642
227,22599.8125,706157.0,2.8228455,2178210,1721144332742
228,22699.416666666664,1291372.0,4.7067065,6135300,1721144332842
229,22799.625,1201633.0,5.0639133,5508000,1721144332942
230,22899.354166666664,531061.0,2.3223038,1917345,1721144333042
231,22999.145833333332,486282.0,2.6859655,2417910,1721144333142
232,23099.333333333336,233443.0,0.76969135,0,1721144333242
233,23199.354166666664,189977.0,0.653263,0,1721144333342
234,23299.666666666668,439650.0,1.6789756,1238535,1721144333442
235,23400.187499999996,286391.0,1.0180879,200940,1721144333543
236,23499.604166666664,386947.0,2.1146839,1808205,1721144333642
237,23599.708333333332,351368.0,1.6706438,1063860,1721144333742
238,23699.604166666668,350932.0,1.9360185,1720995,1721144333842
239,23799.687499999996,248110.0,1.0507805,397290,1721144333942
240,23899.5625,912740.0,3.2113671,2467890,1721144334042
241,24000.166666666664,367469.0,1.6501558,999855,1721144334143
242,24099.333333333336,1374808.0,2.0148392,411825,1721144334242
243,24200.270833333332,198564.0,1.7187349,1438200,1721144334343
244,24299.395833333332,377295.0,1.1228533,317220,1721144334442
245,24399.958333333336,3546591.0,4.368114,2102220,1721144334542
246,24499.625,1713016.0,3.5385592,2844270,1721144334642
247,24599.562499999996,257690.0,1.4960259,849660,1721144334742
248,24699.479166666668,882642.0,4.902728,4224840,1721144334842
249,24799.645833333332,629799.0,2.2031138,1677390,1721144334942
250,24899.645833333332,225017.0,1.3385912,912135,1721144335042
251,25000.1875,556297.0,2.6134968,2081820,1721144335143
